任务类别,原始类别,论文题目,作者,日期,发表/场所,模型架构(推断),方法要点(推断),链接,效果摘要
重建,Reconstruction,Optimizing Sampling Patterns for Compressed Sensing MRI with Diffusion Generative Models,"Sriram Ravula, Brett Levac, Ajil Jalal, Jonathan I. Tamir, Alexandros G. Dimakis","5th Jun., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2306.03284 | Github:https://github.com/Sriram-Ravula/MRI_Sampling_Diffusion,（README未提供，详见论文）
重建,Reconstruction,Solving Inverse Problems with Score-Based Generative Priors learned from Noisy Data,"Asad Aali, Marius Arvinte, Sidharth Kumar, Jonathan I. Tamir","2nd May, 2023","arXiv, 2023",Score-based,未归纳,Paper:https://arxiv.org/abs/2305.01166,（README未提供，详见论文）
重建,Reconstruction,SPIRiT-Diffusion: Self-Consistency Driven Diffusion Model for Accelerated MRI,"Zhuo-Xu Cui, Chentao Cao, Jing Cheng, Sen Jia, Hairong Zheng, Dong Liang, Yanjie Zhu","11th Apr., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2304.05060,（README未提供，详见论文）
重建,Reconstruction,Sub-volume-based Denoising Diffusion Probabilistic Model for Cone-beam CT Reconstruction from Incomplete Data,"Wenjun Xia, Chuang Niu, Wenxiang Cong, Ge Wang","22nd Mar., 2023","arXiv, 2023","DDPM类, 扩散ODE",重建/复原驱动,Paper:https://arxiv.org/abs/2303.12861,（README未提供，详见论文）
重建,Reconstruction,Improving 3D Imaging with Pre-Trained Perpendicular 2D Diffusion Models,"Suhyeon Lee, Hyungjin Chung, Minyoung Park, Jonghyuk Park, Wi-Sun Ryu, Jong Chul Ye","15th Mar., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2303.08440,（README未提供，详见论文）
重建,Reconstruction,Fast Diffusion Sampler for Inverse Problems by Geometric Decomposition,"Hyungjin Chung, Suhyeon Lee, Jong Chul Ye","10th Mar., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2303.05754,（README未提供，详见论文）
重建,Reconstruction,Diffusion Denoising for Low-Dose-CT Model,Runyi Li,"27th Jan., 2023","arXiv, 2023",扩散ODE,去噪,Paper:https://arxiv.org/abs/2301.11482,（README未提供，详见论文）
重建,Reconstruction,Annealed Score-Based Diffusion Model for MR Motion Artifact Reduction,"Gyutaek Oh, Jeong Eun Lee, Jong Chul Ye","8th Jan., 2023","arXiv, 2023","Score-based, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2301.03027,（README未提供，详见论文）
重建,Reconstruction,Universal Generative Modeling in Dual-domain for Dynamic MR Imaging,"Chuanming Yu, Yu Guan, Ziwen Ke, Dong Liang, Qiegen Liu","15th Dec., 2022","arXiv, 2022",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2212.07599,（README未提供，详见论文）
重建,Reconstruction,SPIRiT-Diffusion: SPIRiT-driven Score-Based Generative Modeling for Vessel Wall imaging,"Chentao Cao, Zhuo-Xu Cui, Jing Cheng, Sen Jia, Hairong Zheng, Dong Liang, Yanjie Zhu","14th Dec., 2022","arXiv, 2022","Score-based, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2212.11274,（README未提供，详见论文）
重建,Reconstruction,One Sample Diffusion Model in Projection Domain for Low-Dose CT Imaging,"Bin Huang, Liu Zhang, Shiyu Lu, Boyu Lin, Weiwen Wu, Qiegen Liu","7th Dec., 2022","arXiv, 2022",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2212.03630,（README未提供，详见论文）
重建,Reconstruction,DOLCE: A Model-Based Probabilistic Diffusion Framework for Limited-Angle CT Reconstruction,"Jiaming Liu, Rushil Anirudh, Jayaraman J. Thiagarajan, Stewart He, K. Aditya Mohan, Ulugbek S. Kamilov, Hyojin Kim","22nd Nov., 2022","arXiv, 2022",扩散ODE,重建/复原驱动,Paper:https://arxiv.org/abs/2211.12340,（README未提供，详见论文）
重建,Reconstruction,Solving 3D Inverse Problems using Pre-trained 2D Diffusion Models,"Hyungjin Chung, Dohoon Ryu, Michael T. McCann, Marc L. Klasky, Jong Chul Ye","19th Nov., 2022","arXiv, 2022",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2211.10655 | Github:https://github.com/HJ-harry/DiffusionMBIR,（README未提供，详见论文）
重建,Reconstruction,Patch-Based Denoising Diffusion Probabilistic Model for Sparse-View CT Reconstruction,"Wenjun Xia, Wenxiang Cong, Ge Wang","18th Nov., 2022","arXiv, 2022","DDPM类, 扩散ODE",重建/复原驱动,Paper:https://arxiv.org/abs/2211.10388,（README未提供，详见论文）
重建,Reconstruction,Accelerated Motion Correction for MRI using Score-Based Generative Models,"Brett Levac, Ajil Jalal, Jonathan I. Tamir","1st Nov., 2022","arXiv, 2022",Score-based,未归纳,Paper:https://arxiv.org/abs/2211.00199,（README未提供，详见论文）
重建,Reconstruction,Self-Score: Self-Supervised Learning on Score-Based Models for MRI Reconstruction,"Zhuo-Xu Cui, Chentao Cao, Shaonan Liu, Qingyong Zhu, Jing Cheng, Haifeng Wang, Yanjie Zhu, Dong Liang","2nd Sep., 2022","IEEE TMI, 2022",Score-based,重建/复原驱动,Paper:https://arxiv.org/abs/2209.00835,（README未提供，详见论文）
重建,Reconstruction,One-shot Generative Prior in Hankel-k-space for Parallel Imaging Reconstruction,"Hong Peng, Chen Jiang, Jing Cheng, Minghui Zhang, Shanshan Wang, Dong Liang, Qiegen Liu","15th Aug., 2022","arXiv, 2022",通用/未明确,重建/复原驱动,Paper:https://arxiv.org/abs/2208.07181 | Github:https://github.com/yqx7150/hkgm,（README未提供，详见论文）
重建,Reconstruction,High-Frequency Space Diffusion Models for Accelerated MRI,"Chentao Cao, Zhuo-Xu Cui, Shaonan Liu, Dong Liang, Yanjie Zhu","10th Aug., 2022","arXiv, 2022",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2208.05481,（README未提供，详见论文）
重建,Reconstruction,Adaptive Diffusion Priors for Accelerated MRI Reconstruction,"Salman UH Dar, Şaban Öztürk, Yilmaz Korkmaz, Gokberk Elmas, Muzaffer Özbey, Alper Güngör, Tolga Çukur","12th Jul., 2022","arXiv, 2022",通用/未明确,重建/复原驱动,Paper:https://arxiv.org/abs/2207.05876,（README未提供，详见论文）
重建,Reconstruction,Improving Diffusion Models for Inverse Problems using Manifold Constraints,"Hyungjin Chung, Byeongsu Sim, Dohoon Ryu, Jong Chul Ye","2nd Jun., 2022","NeurIPS, 2022",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2206.00941,（README未提供，详见论文）
重建,Reconstruction,WKGM: Weight-K-space Generative Model for Parallel Imaging Reconstruction,"Zongjiang Tu, Die Liu, Xiaoqing Wang, Chen Jiang, Pengwen Zhu, Minghui Zhang, Shanshan Wang, Dong Liang, Qiegen Liu","8th May, 2022","arXiv, 2022",通用/未明确,重建/复原驱动,Paper:https://arxiv.org/abs/2205.03883 | Github:https://github.com/yqx7150/wkgm,（README未提供，详见论文）
重建,Reconstruction,Towards performant and reliable undersampled MR reconstruction via diffusion model sampling,"Cheng Peng, Pengfei Guo, S. Kevin Zhou, Vishal Patel, Rama Chellappa","8th Mar., 2022","MICCAI, 2022",扩散ODE,重建/复原驱动,Paper:https://arxiv.org/abs/2203.04292 | Github:https://github.com/cpeng93/diffuserecon,（README未提供，详见论文）
重建,Reconstruction,Measurement-conditioned Denoising Diffusion Probabilistic Model for Under-sampled Medical Image Reconstruction,"Yutong Xie, Quanzheng Li","5th Mar., 2022","MICCAI, 2022","DDPM类, 条件扩散, 扩散ODE",重建/复原驱动,Paper:https://arxiv.org/abs/2203.03623 | Github:https://github.com/Theodore-PKU/MC-DDPM,（README未提供，详见论文）
重建,Reconstruction,MRI Reconstruction via Data Driven Markov Chain with Joint Uncertainty Estimation,"Guanxiong Luo, Martin Heide, Martin Uecker","3rd Feb., 2022","arXiv, 2022",通用/未明确,重建/复原驱动,Paper:https://arxiv.org/abs/2202.01479 | Github:https://github.com/mrirecon/spreco,（README未提供，详见论文）
重建,Reconstruction,Come-Closer-Diffuse-Faster: Accelerating Conditional Diffusion Models for Inverse Problems through Stochastic Contraction,"Hyungjin Chung, Byeongsu Sim, Jong Chul Ye","9th Dec., 2021","CVPR, 2021","条件扩散, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2112.05146,（README未提供，详见论文）
重建,Reconstruction,Solving Inverse Problems in Medical Imaging with Score-Based Generative Models,"Yang Song, Liyue Shen, Lei Xing, Stefano Ermon","15th Nov., 2021","ICLR, 2022",Score-based,未归纳,Paper:https://arxiv.org/abs/2111.08005 | Github:https://github.com/yang-song/score_inverse_problems,（README未提供，详见论文）
重建,Reconstruction,Score-based diffusion models for accelerated MRI,"Hyungjin Chung, Jong chul Ye","8th Oct., 2021","MIA, 2021","Score-based, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2110.05243 | Github:https://github.com/yang-song/score_inverse_problems,（README未提供，详见论文）
重建,Reconstruction,Robust Compressed Sensing MRI with Deep Generative Priors,"Ajil Jalal, Marius Arvinte, Giannis Daras, Eric Price, Alexandros G. Dimakis, Jonathan I. Tamir","3rd Aug., 2021","NeurIPS, 2021",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2108.01368 | Github:https://github.com/utcsilab/csgm-mri-langevin,（README未提供，详见论文）
生成,Image Generation,Lung-DDPM+: Efficient Thoracic CT Image Synthesis using Diffusion Probabilistic Model,"Yifan Jiang, Ahmad Shariftabrizi, Venkata SK. Manem","12th Aug., 2025","arXiv, 2025","DDPM类, 扩散ODE",未归纳,Paper:http://arxiv.org/abs/2508.09327v1,（README未提供，详见论文）
生成,Image Generation,Perceptual Evaluation of GANs and Diffusion Models for Generating X-rays,"Gregory Schuit, Denis Parra, Cecilia Besa","10th Aug., 2025","arXiv, 2025","扩散ODE, GAN",未归纳,Paper:http://arxiv.org/abs/2508.07128v1 | GitHub:https://github.com/gregschuit/radiologist-perceptual-eval-xrays,（README未提供，详见论文）
生成,Image Generation,MAISI-v2: Accelerated 3D High-Resolution Medical Image Synthesis with Rectified Flow and Region-specific Contrastive Loss,"Can Zhao, Pengfei Guo, Dong Yang, Yucheng Tang, Yufan He, Benjamin Simon, Mason Belue, Stephanie Harmon, Baris Turkbey, Daguang Xu","07th Aug., 2025","arXiv, 2025",流模型/Flow,未归纳,Paper:http://arxiv.org/abs/2508.05772v1 | GitHub:https://github.com/Project-MONAI/tutorials/tree/main/generation/maisi | Demo:https://build.nvidia.com/nvidia/maisi,（README未提供，详见论文）
生成,Image Generation,Adaptively Distilled ControlNet: Accelerated Training and Superior Sampling for Medical Image Synthesis,"Kunpeng Qiu, Zhiying Zhou, Yongxin Guo","31th Jul., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2507.23652v1 | GitHub:https://github.com/Qiukunpeng/ADC,（README未提供，详见论文）
生成,Image Generation,LesionGen: A Concept-Guided Diffusion Model for Dermatology Image Synthesis,"Jamil Fayyad, Nourhan Bayasi, Ziyang Yu, Homayoun Najjaran","30th Jul., 2025","arXiv, 2025",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2507.23001v1 | GitHub:https://github.com/jfayyad/LesionGen,（README未提供，详见论文）
生成,Image Generation,Pyramid Hierarchical Masked Diffusion Model for Imaging Synthesis,"Xiaojiao Xiao, Qinmin Vivian Hu, Guanghui Wang","22th Jul., 2025","arXiv, 2025","扩散ODE, 掩码/Masked机制",未归纳,Paper:http://arxiv.org/abs/2507.16579v1 | GitHub:https://github.com/xiaojiao929/PHMDiff,（README未提供，详见论文）
生成,Image Generation,AI-Driven Cytomorphology Image Synthesis for Medical Diagnostics,"Jan Carreras Boada, Rao Muhammad Umer, Carsten Marr","07th Jul., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2507.05063v1,（README未提供，详见论文）
生成,Image Generation,MedDiff-FT: Data-Efficient Diffusion Model Fine-tuning with Structural Guidance for Controllable Medical Image Synthesis,"Jianhao Xie, Ziang Zhang, Zhenyu Weng, Yuesheng Zhu, Guibo Luo","01st Jul., 2025","arXiv, 2025",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2507.00377v1 | GitHub:https://github.com/JianhaoXie1/MedDiff-FT,（README未提供，详见论文）
生成,Image Generation,TRACE: Temporally Reliable Anatomically-Conditioned 3D CT Generation with Enhanced Efficiency,"Minye Shao, Xingyu Miao, Haoran Duan, Zeyu Wang, Jingkun Chen, Yawen Huang, Xian Wu, Jingjing Deng, Yang Long, Yefeng Zheng","01st Jul., 2025","arXiv, 2025",条件扩散,未归纳,Paper:http://arxiv.org/abs/2507.00802v1 | GitHub:https://github.com/VinyehShaw/TRACE.git,（README未提供，详见论文）
生成,Image Generation,Towards 3D Semantic Image Synthesis for Medical Imaging,"Wenwu Tang, Khaled Seyam, Bin Yang","30th Jun., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2507.00206v1,（README未提供，详见论文）
生成,Image Generation,Angio-Diff: Learning a Self-Supervised Adversarial Diffusion Model for Angiographic Geometry Generation,"Zhifeng Wang, Renjiao Yi, Xin Wen, Chenyang Zhu, Kai Xu, Kunlun He","24th Jun., 2025","arXiv, 2025",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2506.19455v1 | GitHub:https://github.com/zfw-cv/AngioDiff,（README未提供，详见论文）
生成,Image Generation,Doctor Approved: Generating Medically Accurate Skin Disease Images through AI-Expert Feedback,"Janet Wang, Yunbei Zhang, Zhengming Ding, Jihun Hamm","14th Jun., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2506.12323v1 | GitHub:https://github.com/janet-sw/MAGIC.git,（README未提供，详见论文）
生成,Image Generation,Prompt-Guided Latent Diffusion with Predictive Class Conditioning for 3D Prostate MRI Generation,"Emerson P. Grabke, Masoom A. Haider, Babak Taati","11th Jun., 2025","arXiv, 2025",潜空间/Latent Diffusion,未归纳,Paper:http://arxiv.org/abs/2506.10230v2 | GitHub:https://github.com/grabkeem/CCELLA,（README未提供，详见论文）
生成,Image Generation,Skeleton-Guided Diffusion Model for Accurate Foot X-ray Synthesis in Hallux Valgus Diagnosis,"Midi Wan, Pengfei Li, Yizhuo Liang, Di Wu, Yushan Pan, Guangzhen Zhu, Hao Wang","13th May, 2025","arXiv, 2025",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2505.08247v1,（README未提供，详见论文）
生成,Image Generation,Noise-Consistent Siamese-Diffusion for Medical Image Synthesis and Segmentation,"Kunpeng Qiu, Zhiqiang Gao, Zhiying Zhou, Mingjie Sun, Yongxin Guo","09th May, 2025","arXiv, 2025",通用/未明确,分割,Paper:http://arxiv.org/abs/2505.06068v1 | GitHub:https://github.com/Qiukunpeng/Siamese-Diffusion,（README未提供，详见论文）
生成,Image Generation,ViCTr: Vital Consistency Transfer for Pathology Aware Image Synthesis,"Onkar Susladkar, Gayatri Deshmukh, Yalcin Tur, Gorkhem Durak, Ulas Bagci","08th May, 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2505.04963v3 | GitHub:https://github.com/Onkarsus13/ViCTr-2D,（README未提供，详见论文）
生成,Image Generation,Bringing together invertible UNets with invertible attention modules for memory-efficient diffusion models,"Karan Jain, Mohammad Nayeem Teli","15th Apr., 2025","arXiv, 2025",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2504.10883v1,（README未提供，详见论文）
生成,Image Generation,MedSegFactory: Text-Guided Generation of Medical Image-Mask Pairs,"Jiawei Mao, Yuhan Wang, Yucheng Tang, Daguang Xu, Kang Wang, Yang Yang, Zongwei Zhou, Yuyin Zhou","09th Apr., 2025","arXiv, 2025",掩码/Masked机制,未归纳,Paper:http://arxiv.org/abs/2504.06897v2 | GitHub:https://github.com/jwmao1/MedSegFactory | Project Page:https://jwmao1.github.io/MedSegFactory_web/,（README未提供，详见论文）
生成,Image Generation,Few-Shot Generation of Brain Tumors for Secure and Fair Data Sharing,"Yongyi Shi, Ge Wang","31st Mar., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2504.00150v1,（README未提供，详见论文）
生成,Image Generation,Language-Guided Trajectory Traversal in Disentangled Stable Diffusion Latent Space for Factorized Medical Image Generation,"Zahra TehraniNasab, Amar Kumar, Tal Arbel","30th Mar., 2025","MIV-CVPR Workshop, 2025",潜空间/Latent Diffusion,未归纳,Paper:http://arxiv.org/abs/2503.23623v1 | GitHub:https://github.com/tehraninasab/sd-latent-traversal | Project Page:https://tehraninasab.github.io/sd-latent-traversal/,（README未提供，详见论文）
生成,Image Generation,CoSimGen: Controllable Diffusion Model for Simultaneous Image and Mask Generation,"Rupak Bose, Chinedu Innocent Nwoye, Aditya Bhat, Nicolas Padoy","25th Mar., 2025","arXiv, 2025","扩散ODE, 掩码/Masked机制",未归纳,Paper:http://arxiv.org/abs/2503.19661v1 | Project Page:https://camma-public.github.io/endogen/cosimgen,（README未提供，详见论文）
生成,Image Generation,ZECO: ZeroFusion Guided 3D MRI Conditional Generation,"Feiran Wang, Bin Duan, Jiachen Tao, Nikhil Sharma, Dawen Cai, Yan Yan","24th Mar., 2025","arXiv, 2025",条件扩散,未归纳,Paper:http://arxiv.org/abs/2503.18246v1 | GitHub:https://github.com/Brack-Wang/ZECO | Project Page:https://brack-wang.github.io/ZECO_web/,（README未提供，详见论文）
生成,Image Generation,MedLoRD: A Medical Low-Resource Diffusion Model for High-Resolution 3D CT Image Synthesis,"Marvin Seyfarth, Salman Ul Hassan Dar, Isabelle Ayx, Matthias Alexander Fink, Stefan O. Schoenberg, Hans-Ulrich Kauczor, Sandy Engelhardt","17th Mar., 2025","arXiv, 2025",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2503.13211v1,（README未提供，详见论文）
生成,Image Generation,FCaS: Fine-grained Cardiac Image Synthesis based on 3D Template Conditional Diffusion Model,"Jiahao Xia, Yutao Hu, Yaolei Qi, Zhenliang Li, Wenqi Shao, Junjun He, Ying Fu, Longjiang Zhang, Guanyu Yang","12th Mar., 2025","arXiv, 2025","条件扩散, 扩散ODE",未归纳,Paper:http://arxiv.org/abs/2503.09560v1,（README未提供，详见论文）
